feature,mean_abs_shap,mean_shap
ops_type_merged,0.01276450547475827,0.0002045394120012625
trip_cnt_per_user_roll4,0.00953572164407947,-8.561675019277092e-05
weekday_nonrepeat_cnt_per_user_roll4,0.008055439002738392,0.0003030553795201664
weekend_trip_cnt_per_user_lag1,0.004044987469782616,0.0011981583395161916
weekday_trip_cnt_per_user_roll4,0.003218446259032337,0.0005069325799807209
log_coupon_register_total_per_user_roll4,0.002242430013539925,-0.00017101914288821665
city_group,0.002184311283606521,4.80364955212542e-05
log_coupon_MGM_total_per_user_lag2,0.002103210440701321,0.0020803080217203043
weekend_nonrepeat_cnt_per_user_roll4,0.0018137640845811173,0.0010183863744873298
avg_rainy_day,0.0015614318011782254,-0.0015614318011782254
nonrepeat_cnt_per_user_roll4,0.0015553156616075145,0.00015039031033233532
log_coupon_BD_total_per_user_lag2,0.0014913296476287794,0.0008569080546564875
avg_rainy_weekday,0.0013400612834520542,-0.0013400612834520542
log_coupon_BD_total_per_user_roll4,0.0012463024301412166,0.00077998592620875
weekend_nonrepeat_cnt_per_user_lag2,0.0012101758132510043,-0.0007967740043144043
log_coupon_CDP_total_per_user_lag2,0.0010813265805608085,0.0010813265805608085
weekend_match_rate_roll4,0.0010106253197728874,-0.0009339850560472709
log_coupon_register_total_per_user_lag1,0.0009727525913156126,-0.0002517667387048125
log_coupon_register_total_per_user_lag2,0.0007148135539402798,-0.0002890782341217119
log_coupon_CDP_total_per_user_roll4,0.0005994629012890541,0.0005994629012890541
log_coupon_growth_other_total_per_user_roll4,0.0005790775492171083,-0.0004638576100089833
delta_nonrepeat_per_user,0.0003584299407950484,7.041664143784625e-05
weekday_match_rate_lag1,0.0003033035930440708,0.00022401551969757083
log_coupon_MGM_total_per_user_roll4,0.0002535985936017875,0.0001085905057506375
weekend_match_rate_lag2,0.00017673128329037611,-9.330954758319288e-05
log_coupon_CDP_total_per_user_lag1,0.0001611476303292207,-0.0001611476303292207
weekend_nonrepeat_cnt_per_user_lag1,0.0001591548368812082,-0.0001591548368812082
weekday_match_rate_lag2,0.00013603647202927065,-5.8955194586157944e-05
delta_trip_per_user,0.0001355497844073992,-3.0238336900088685e-05
log_coupon_total_per_user_roll4,0.00012894143133773334,3.390922063655833e-05
weekend_trip_cnt_per_user_lag2,0.0001286134623481217,-5.316799346929463e-05
weekday_trip_cnt_per_user_lag1,0.00012554628296350444,-2.852052741977057e-05
log_coupon_total_per_user_lag2,0.00012309993176196372,-5.778491090408039e-05
nonrepeat_cnt_per_user_lag1,0.0001147327711597317,-5.012666337469228e-05
log_coupon_total_per_user_lag1,0.00011235246067232739,2.448196051719177e-05
trip_cnt_per_user_lag1,9.574519209691055e-05,9.061059189122575e-07
log_coupon_daily_total_per_user_roll4,8.688984739078654e-05,4.944661960010567e-05
log_coupon_MKT_total_per_user_lag1,7.109315769774221e-05,7.23621331951361e-06
weekend_trip_cnt_per_user_roll4,6.57787324433859e-05,-4.952512731458068e-07
log_coupon_growth_other_total_per_user_lag2,6.520097162567365e-05,2.6433861514095562e-05
weekday_nonrepeat_cnt_per_user_lag1,5.991092888337114e-05,-5.302475295530996e-06
weekday_trip_cnt_per_user_lag2,3.5325701914792346e-05,-7.438998952618934e-06
source,0.0,0.0
trip_cnt_per_user_lag2,0.0,0.0
treatment,0.0,0.0
nonrepeat_cnt_per_user_lag1_isna,0.0,0.0
trip_cnt_per_user_roll4_isna,0.0,0.0
mgm_day,0.0,0.0
has_national_holiday,0.0,0.0
weekday_match_rate_lag2_isna,0.0,0.0
weekday_match_rate_lag1_isna,0.0,0.0
weekend_trip_cnt_per_user_lag2_isna,0.0,0.0
weekend_trip_cnt_per_user_roll4_isna,0.0,0.0
weekday_trip_cnt_per_user_lag2_isna,0.0,0.0
weekday_trip_cnt_per_user_lag1_isna,0.0,0.0
weekday_trip_cnt_per_user_roll4_isna,0.0,0.0
weekend_trip_cnt_per_user_lag1_isna,0.0,0.0
weekday_nonrepeat_cnt_per_user_lag2_isna,0.0,0.0
weekday_nonrepeat_cnt_per_user_lag2,0.0,0.0
weekday_nonrepeat_cnt_per_user_lag1_isna,0.0,0.0
nonrepeat_cnt_per_user_roll4_isna,0.0,0.0
weekend_nonrepeat_cnt_per_user_lag1_isna,0.0,0.0
weekday_nonrepeat_cnt_per_user_roll4_isna,0.0,0.0
weekend_nonrepeat_cnt_per_user_lag2_isna,0.0,0.0
weekend_nonrepeat_cnt_per_user_roll4_isna,0.0,0.0
nonrepeat_cnt_per_user_lag2,0.0,0.0
nonrepeat_cnt_per_user_lag2_isna,0.0,0.0
avg_rainy_weekend,0.0,0.0
trip_cnt_per_user_lag1_isna,0.0,0.0
trip_cnt_per_user_lag2_isna,0.0,0.0
log_coupon_BD_total_per_user_roll4_isna,0.0,0.0
log_coupon_BD_total_per_user_lag1_isna,0.0,0.0
log_coupon_BD_total_per_user_lag2_isna,0.0,0.0
log_coupon_CDP_total_per_user_lag1_isna,0.0,0.0
weekend_match_rate_lag2_isna,0.0,0.0
weekend_match_rate_lag1,0.0,0.0
log_coupon_BD_total_per_user_lag1,0.0,0.0
weekend_match_rate_roll4_isna,0.0,0.0
weekend_match_rate_lag1_isna,0.0,0.0
weekday_match_rate_roll4,0.0,0.0
weekday_match_rate_roll4_isna,0.0,0.0
log_coupon_growth_other_total_per_user_roll4_isna,0.0,0.0
log_coupon_growth_other_total_per_user_lag2_isna,0.0,0.0
log_coupon_growth_other_total_per_user_lag1,0.0,0.0
log_coupon_growth_other_total_per_user_lag1_isna,0.0,0.0
log_coupon_folk_total_per_user_roll4_isna,0.0,0.0
log_coupon_folk_total_per_user_roll4,0.0,0.0
log_coupon_folk_total_per_user_lag2,0.0,0.0
log_coupon_folk_total_per_user_lag2_isna,0.0,0.0
log_coupon_CDP_total_per_user_roll4_isna,0.0,0.0
log_coupon_CDP_total_per_user_lag2_isna,0.0,0.0
log_coupon_folk_total_per_user_lag1_isna,0.0,0.0
log_coupon_folk_total_per_user_lag1,0.0,0.0
log_coupon_MKT_total_per_user_lag1_isna,0.0,0.0
log_coupon_MGM_total_per_user_lag1_isna,0.0,0.0
log_coupon_MGM_total_per_user_lag2_isna,0.0,0.0
log_coupon_MGM_total_per_user_lag1,0.0,0.0
log_coupon_register_total_per_user_lag2_isna,0.0,0.0
log_coupon_register_total_per_user_lag1_isna,0.0,0.0
log_coupon_MKT_total_per_user_roll4,0.0,0.0
log_coupon_MKT_total_per_user_roll4_isna,0.0,0.0
log_coupon_MKT_total_per_user_lag2_isna,0.0,0.0
log_coupon_MKT_total_per_user_lag2,0.0,0.0
log_coupon_MGM_total_per_user_roll4_isna,0.0,0.0
log_coupon_daily_total_per_user_lag1,0.0,0.0
log_coupon_daily_total_per_user_roll4_isna,0.0,0.0
log_coupon_daily_total_per_user_lag2_isna,0.0,0.0
log_coupon_daily_total_per_user_lag2,0.0,0.0
log_coupon_daily_total_per_user_lag1_isna,0.0,0.0
log_coupon_register_total_per_user_roll4_isna,0.0,0.0
log_coupon_total_per_user_lag1_isna,0.0,0.0
log_coupon_total_per_user_lag2_isna,0.0,0.0
log_coupon_total_per_user_roll4_isna,0.0,0.0
